tmid,period_min,period_max,place,diplomatic,lemmatized
1289,-3,-3,Arsinoites,"παρʼ ἐμοὶ τὸ γένη[μ]α βωλοπύρου ἀρτά-βας ἴκοσι* , ὡσαύτω\ς/ καὶ κριθοβώλου ἀρτάβας δέκα · μέκωνοςἀπηνέγκα-το* Ἀσκληπιάδης ἀρ-τάβας δύο ἥμυσυ* · καὶ ἐρεβίνθ\ο/υ φορτία τεσαράκοντα* ὀκτὼ ἀλοέσας* ἀπηγέκκατο* ἄνευ ἐμοῦ .","[['_', ''], ['_', '_', ''], ['_', 'παρά', 'ἐγώ', 'ὁ', 'γένημα', 'βωλόπυρος', 'ἀρτάβη', 'εἴκοσι', ',', 'ὡσαύτως', 'καί', 'κριθόβωλος', 'ἀρτάβη', 'δέκα', '·', ''], ['μήκων', 'Ἀσκληπιάδης', 'ἀρτάβη', 'δύο', 'ἥμισυς', '·', ''], ['καί', 'ἐρέβινθος', 'φορτίον', 'τεσσαράκοντα', 'ὀκτώ', 'ἀλοάω', 'ἀποφέρω', 'ἄνευ', 'ἐγώ', '.']]"
23991,2,2,Claudianus Mons,Βῆκις Πετεαροήρι τῷ υἱῷ χ̣α(ίρειν) . πέμψον μοι σπληνάριν [ἰς] τὴν κεφαλήν μου ἐπὶ,"[['Βῆκις', 'Πετεαροῆρις', 'ὁ', 'υἱός', 'χαίρω', '.', ''], ['πέμπω', 'ἐγώ', 'σπληνάρις', '_', 'ὁ', 'κεφαλή', 'ἐγώ', 'ἐπί', '_', '_']]"
27397,2,2,Upper Egypt,Παχνοῦβι γεωργῷ [ἐδεξ]άμην ξοιδες* . εἴ τι* ἄλλο* <δεῖται> δραπάνων* ἢ ἄλλων ὧν ἔχεις παράδος Κάρῳ τῷ φέροντί σοι τὸ ὄστρακον ἐπεὶ ἐμισθωσατω* τὸ κτῆμα . πέμπω σοι ἐμῇ γνώμῃ ὁ αν ἐμῶν διὰ πρεσβ(υτέρων),"[['_', 'Παχνοῦβις', 'γεωργός', 'δέχομαι', 'ξοίς', '.'], ['εἰ', 'τις', 'ἄλλος', 'δέω', 'δρέπανον', 'ἤ', 'ἄλλος', 'ὅς', 'ἔχω', 'παραδίδωμι', 'Κᾶρος', 'ὁ', 'φέρω', 'σύ', 'ὁ', 'ὄστρακον', 'ἐπεί', 'μισθόω', 'ὁ', 'κτῆμα', '.'], ['πέμπω', 'σύ', '_'], ['_', 'ἐμός', 'γνώμη', 'ὁ', '_', '_', ''], ['_', 'ἐμός', '_', ''], ['_', 'διά', 'πρέσβυς', '_', '']]"
39515,7,7,Arsinoites,πρὸ(ς) Κοσμ(ᾶν) . ἄλλο(ς) Κοσμᾶ(ς) πρε(σβύτερος) παράσχε(ς) Ἄπα Ἰουλίῳ θυρρο̣υ̣(ρῷ) τῆ(ς) πύλ(ης) (ὑπὲρ) μισθ(οῦ) γ ἰνδ(ικτίωνος) σί(του) ἀρτ(άβας) ιβ δώδεκα μό(νον) ἐκ τ(οῦ) σίτ(ου) β ἰνδ(ικτίωνος) Φ(α)ῶ(φι) κδ γ ἰνδ(ικτίωνος),"[['πρός', 'Κοσμᾶς', '.', ''], ['ἄλλος', 'Κοσμᾶς', 'πρέσβυς', 'παρέχω', 'Ἄπα', 'Ἰούλιος', 'θυρρουρός', 'ὁ', 'πύλη', 'ὑπέρ', 'μισθός', 'γ#', 'ἰνδικτίων', 'σῖτος', 'ἀρτάβη', 'ιβ#', 'δώδεκα', 'μόνον', 'ἐκ', 'ὁ', 'σῖτος', 'β#', 'ἰνδικτίων', 'Φαωφί', 'κδ#', 'γ#', 'ἰνδικτίων', '']]"
70383,2,2,Upper Egypt,τῷ [πλεῖστ]α χαίρ̣[ειν] [·] Κρονίου ρη,"[['_', ''], ['_', 'ὁ', '_', ''], ['_', 'πολύς', 'χαίρω', '·', ''], ['_', ''], ['_', 'Κρόνιος', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', 'ρη#', '_', ''], ['_', '_', '']]"
70809,1,1,Berenike,Σωσ̣[ί]β̣(ιος) Ἀνδουρω(ι) χα(ίρειν) · πάρ̣ε̣ς̣ οἴ(νου) ἰτα(λικὰ) .,"[['Σωσίβιος', 'Ἀνδουρως', 'χαίρω', '·', ''], ['παρίημι', '_', '_', 'οἶνος', 'ἰταλικός', '_', '.']]"
4012,-1,-1,Herakleopolites,Διονύσιος Ἡφ[α]ι̣[στίωνι] χαί(ρειν) · χρη(μάτισον) Ἡρώδη[ι] τῶι υἱῶι χαλκ̣οῦ πεντε-κοσίας* ἑβδο̣μ̣ήκοντ̣[α] (γίνονται) (πυρου*) φο (ἔτους) λε Παῦ[νι],"[['Διονύσιος', 'Ἡφαιστίων', 'χαίρω', '·', ''], ['χρηματίζω', 'Ἡρώδης', 'ὁ', 'υἱός', 'χαλκός', 'πεντακόσιοι', 'ἑβδομήκοντα', 'γίγνομαι', 'δραχμή', 'φο', 'ἔτος', 'λε#', 'Παῦνι', '_']]"
70178,4,4,Hermopolis,"κυρίῳ μ[ου] [Ἀσκ]λ̣ηπιά̣[δῃ] Ἰσίδωρ[ος] χ[α]ίρειν . ἐν συστάσι* ἔχε Μεσουῆριν ἐμοὶ διαφέροντα ἀλλʼ ἵνα μαρτυρήσι* μοι , κύριε ἄδελφε , τὰ ὑπάρχοντα αὐτῷ διὰ τῆς σῆ[ς] [ἐ]πιεικείας καὶ ἴσθε̣ι̣* [αὐτὸν] προβεβλῆσθαι τὸν ἐπι̣μ̣[ελητ]ὴν τῶν λίνων καὶ διὰ","[['κύριος', 'ἐγώ', 'Ἀσκληπιάδης', 'Ἰσίδωρος', 'χαίρω', '.', ''], ['ἐν', 'σύστασις', 'ἔχω', 'Μεσουῆρις', 'ἐγώ', 'διαφέρω', 'ἀλλά', 'ἵνα', 'μαρτυρέω', 'ἐγώ', ',', 'κύριος', 'ἀδελφός', ',', 'ὁ', 'ὑπάρχω', 'αὐτός', 'διά', 'ὁ', 'σός', 'ἐπιείκεια', 'καί', 'οἶδα', 'αὐτός', 'προβάλλω', 'ὁ', 'ἐπιμελητής', 'ὁ', 'λίνος', '_'], ['_', 'καί', 'διά', '_', ''], ['_', '_', '']]"
18639,-1,1,Alexandria,,"[['_', '']]"
23283,-1,-1,Herakleopolites,Ἡράκλιτ̣ο̣ς̣ τοπάρ̣χ̣η̣(ς) καὶ κατασπορε(ὺς) Διοσκ̣[ου]-ρίδηι καὶ τοῖ[ς] μετόχοις χαίρ<ε>ιν . μετρ̣[ήσ(ατε)] εἰ<ς> σπέρματ[α] [δάνε]ια τοῦ εἰ[ς] τὸ κγ (ἔτος) Καίσαρος σ[πόρου] [ε]ἰς τὰς σεσημμαμ-μένας* ὑπὸ [τοῦ] [κ]ωμογραμματ[έ]ως τῆς κώμ[ης] περὶ Το[ο]ὺ εἰς [ἃ]ς [γεω]ρ̣γεῖ ἀπὸ βασιλικῆ(ς) γῆ(ς) ἐ\κ/ (τοῦ) Πτολ[εμαίου] κλ̣[(ήρου)] ἀρο(ύρας) γ καὶἐ\κ/ (τοῦ) Πύθωνο(ς) β (γίνονται) ε (πυροῦ) (ἀρτάβαι) ε καὶεἰς ἃς ἔχει κατοικικ̣ὰς̣ [ἐκ] [(τοῦ)] Σεύθ(ου) ἀρο(ύρας) κειμένας̣ [πυροῦ] [ἀρτάβας] (ἔτους) κγ Καίσαρος Τῦβι,"[['Ἡράκλιτος', 'τοπάρχης', 'καί', 'κατασπορεύς', 'Διοσκουρίδης', 'καί', 'ὁ', 'μέτοχος', 'χαίρω', '.', ''], ['μετρέω', 'εἰς', 'σπέρμα', 'δάνειον', 'ὁ', 'εἰς', 'ὁ', 'κγ#', 'ἔτος', 'Καῖσαρ', 'σπόρος', 'εἰς', 'ὁ', 'σημαίνω', 'ὑπό', 'ὁ', 'κωμογραμματεύς', 'ὁ', 'κώμη', '_', 'περί', 'Τοού', 'εἰς', 'ὅς', 'γεωργέω', 'ἀπό', 'βασιλικός', 'γῆ', 'ἐκ', 'ὁ', 'Πτολεμαῖος', 'κλῆρος', 'ἄρουρα', 'γ#', 'καίἐκ', 'ὁ', 'Πύθων', 'β#', 'γίγνομαι', 'ε#', 'πυρός', 'ἀρτάβη', 'ε#', 'καίεἰς', 'ὅς', 'ἔχω', 'κατοικικός', 'ἐκ', 'ὁ', 'Σεῦθος', 'ἄρουρα', '_'], ['_', 'κεῖμαι', 'πυρός', 'ἀρτάβη', '_', ''], ['_', 'ἔτος', 'κγ#', 'Καῖσαρ', 'Τῦβι', '_', '']]"
